name,kind,x_lo,x_hi,u_lo,u_hi,v_lo,v_hi,e_hi,standalone_result_present
FR142,shifted,9.09090909090909e-05,0.00017241379310344826,0.00037037037037037035,0.0005128205128205128,5e-06,2e-05,1e-05,False
FR144,shifted,0.00014285714285714287,0.0001818181818181818,0.000125,0.0001818181818181818,0.00011111111111111112,0.00013333333333333334,0.00025,False
FR146,shifted,0.00014285714285714287,0.0001818181818181818,3.3333333333333335e-05,8.333333333333333e-05,0.00015384615384615385,0.0001923076923076923,0.00016666666666666666,False
FR148,shifted,0.00015384615384615385,0.00022222222222222223,0.00024154589371980676,0.00028901734104046245,7.692307692307693e-05,0.00011111111111111112,0.0002,False
FR150,shifted,0.00014285714285714287,0.0001818181818181818,8.333333333333333e-05,0.00015748031496062991,0.00015384615384615385,0.0001923076923076923,0.00016666666666666666,False
FR152,shifted,0.00016666666666666666,0.00020833333333333335,3.3333333333333335e-05,5.555555555555556e-05,0.0001923076923076923,0.00022727272727272727,0.0003636363636363636,False
FR154,shifted,0.00016666666666666666,0.00022727272727272727,4e-05,6.666666666666667e-05,0.00023255813953488373,0.0002631578947368421,0.0004,False
FR156,shifted,0.0001388888888888889,0.0002173913043478261,5.555555555555556e-05,0.00012195121951219512,0.00022222222222222223,0.00031446540880503143,1e-05,False
FR158,shifted,0.00016129032258064516,0.00026737967914438503,0.00016666666666666666,0.0001937984496124031,0.0001818181818181818,0.0002,0.0005,False
FR160,shifted,0.0001,0.000125,0.0002,0.00025,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR162,shifted,0.00014285714285714287,0.00017241379310344826,6.25e-05,0.00011235955056179776,0.0001923076923076923,0.0002380952380952381,0.0002,False
FR164,shifted,0.000125,0.00015384615384615385,0.0002631578947368421,0.0003846153846153846,0.00011111111111111112,0.00014285714285714287,0.00015384615384615385,False
FR166,shifted,0.00014285714285714287,0.00020833333333333335,0.00035714285714285714,0.0005434782608695652,5e-05,0.00011111111111111112,1e-05,False
FR168,shifted,9.09090909090909e-05,0.00015197568389057752,0.00045454545454545455,0.0005714285714285715,0,3.3333333333333335e-05,5e-05,False
FR170,shifted,0.00015384615384615385,0.00022727272727272727,0.00020833333333333335,0.00026595744680851064,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR172,shifted,0.000125,0.00020202020202020202,0.00022222222222222223,0.00034965034965034965,0.00011764705882352942,0.0001818181818181818,1e-05,False
FR174,shifted,0.00014705882352941175,0.00016666666666666666,7.142857142857143e-05,9.523809523809524e-05,0.00011764705882352942,0.00014285714285714287,0.0003636363636363636,False
FR176,shifted,0.00014285714285714287,0.00016666666666666666,0.0003333333333333333,0.0004166666666666667,1.25e-05,2.5e-05,0.0003246753246753247,False
FR178,shifted,0.0002173913043478261,0.0003333333333333333,0,5e-05,0.0001923076923076923,0.0002777777777777778,1e-05,True
FR180,shifted,0.0001818181818181818,0.00022222222222222223,3.3333333333333335e-05,5.555555555555556e-05,0.00017241379310344826,0.0002173913043478261,0.00030303030303030303,False
FR182,shifted,0.00016666666666666666,0.0001923076923076923,5e-05,7.142857142857143e-05,0.00017857142857142857,0.0002127659574468085,0.0003816793893129771,True
FR184,shifted,0.00012195121951219512,0.0001388888888888889,0.00011764705882352942,0.00013157894736842105,0.0001388888888888889,0.00016129032258064516,0.00040816326530612246,True
FR186,shifted,0.00017241379310344826,0.0002538071065989848,8.333333333333333e-05,0.000125,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR188,shifted,0.00015384615384615385,0.00022222222222222223,0.00024154589371980676,0.00028901734104046245,3.968253968253968e-05,7.692307692307693e-05,0.0002,False
FR190,shifted,0.00015384615384615385,0.00022222222222222223,0.00028901734104046245,0.0003322259136212625,3.968253968253968e-05,7.692307692307693e-05,0.0002,False
FR192,shifted,0.00014285714285714287,0.0001824817518248175,5e-05,8.333333333333333e-05,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR194,shifted,0.00014285714285714287,0.0001818181818181818,0.0001818181818181818,0.00025,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR196,shifted,4.545454545454545e-05,0.00011764705882352942,0,3.3333333333333335e-05,0.0002,0.0002631578947368421,1e-05,False
FR198,shifted,0.00016129032258064516,0.00026737967914438503,0.00014705882352941175,0.00016666666666666666,0.0002,0.0002192982456140351,0.0005,False
FR200,shifted,0.00016666666666666666,0.00018518518518518518,6.666666666666667e-05,8.333333333333333e-05,0.00018518518518518518,0.00020833333333333335,0.0005555555555555556,True
FR202,shifted,0.00020202020202020202,0.0003125,0.00014285714285714287,0.00022222222222222223,0.00011764705882352942,0.0001818181818181818,1e-05,False
FR204,shifted,0.00016666666666666666,0.0001923076923076923,5e-05,7.142857142857143e-05,0.00014705882352941175,0.00017857142857142857,0.0003816793893129771,False
FR206,shifted,0.00015384615384615385,0.00016666666666666666,0.00016129032258064516,0.00017857142857142857,0.0001818181818181818,0.0002,0.0006666666666666666,True
FR208,shifted,0.00015384615384615385,0.0002,0.0002777777777777778,0.0003125,7.142857142857143e-05,9.09090909090909e-05,0.000423728813559322,False
FR210,shifted,0.00014285714285714287,0.00020833333333333335,0.00035714285714285714,0.0005434782608695652,0,5e-05,1e-05,True
FR212,shifted,0.00016129032258064516,0.00026737967914438503,0.0001937984496124031,0.00022026431718061675,0.0001818181818181818,0.0002,0.0005,False
FR214,shifted,0.00017543859649122806,0.0002,6.666666666666667e-05,8.333333333333333e-05,0.00016666666666666666,0.00018867924528301886,0.00045454545454545455,False
FR216,shifted,0.00017543859649122806,0.0002,8.333333333333333e-05,0.00013404825737265417,0.00016666666666666666,0.00018867924528301886,0.00045454545454545455,True
FR218,shifted,9.09090909090909e-05,0.00015197568389057752,0.00037037037037037035,0.00045454545454545455,3.3333333333333335e-05,7.462686567164179e-05,5e-05,False
FR220,shifted,0.00016666666666666666,0.0001923076923076923,7.142857142857143e-05,0.0001,0.00018518518518518518,0.00020833333333333335,0.0005,True
FR222,shifted,0.00015384615384615385,0.0002,0.00022222222222222223,0.00025,6.666666666666667e-05,8.333333333333333e-05,0.0003333333333333333,True
