s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
4.518314910515865424e-01	4.608912763583122851e-02	2.616551111814763991e-02	2.341500714426720531e-01	2.502350249030398377e-01	2.398300687817459531e-01	1.710570438001726146e-01	8.841138227139083705e-01	9.446192470748379089e-01	9.059343191088324865e-01	6.461632446413549946e-01	2.354097081375229994e+00
4.577766422496337695e-01	4.623179866068405364e-02	2.182674443587198296e-02	2.373212894315988031e-01	2.534335263742636957e-01	2.429871849477844570e-01	1.733172432378875527e-01	8.936730530013988760e-01	9.541645127253970404e-01	9.153249889603884970e-01	6.528903152907561402e-01	2.388717646213316392e+00
4.637217934476809411e-01	4.634861547845969820e-02	1.746842423725334173e-02	2.404894192337951875e-01	2.566300508597492702e-01	2.461474440799518715e-01	1.755799197806951484e-01	9.032107393561291664e-01	9.636918461354003762e-01	9.247167611142071975e-01	6.596190383490123654e-01	2.424158162056858412e+00
4.696669446457281127e-01	4.643947058679598339e-02	1.309349178725290573e-02	2.436544425859503427e-01	2.598246525695816489e-01	2.493108353836263613e-01	1.778450369650918517e-01	9.127283272557144000e-01	9.732030405031180109e-01	9.341111875406010734e-01	6.663504151647479112e-01	2.460435794564717504e+00
4.756120958437753399e-01	4.650427395346512505e-02	8.704883356751604018e-03	2.468163433218835967e-01	2.630173841573140714e-01	2.524773471518357293e-01	1.801125589927042026e-01	9.222272674059887043e-01	9.826998805366186085e-01	9.435098141141519124e-01	6.730854476293290922e-01	2.497568436325134478e+00
4.815572470418225115e-01	4.654295299440691647e-02	4.305532822935978846e-03	2.499751072355341219e-01	2.662082967218248886e-01	2.556469668591911382e-01	1.823824507785257454e-01	9.317090165695459669e-01	9.921841438678375980e-01	9.529141823705769010e-01	6.798251393613975457e-01	2.535574736719042210e+00
4.875023982398696831e-01	4.655545256726145720e-02	-1.016257156145493790e-04	2.531307219508173167e-01	2.693974398132978898e-01	2.588196812502827626e-01	1.846546779919969739e-01	9.411750384273761538e-01	1.001657602489931520e+00	9.623258312509632706e-01	6.865704968704661182e-01	2.574474133504109030e+00
4.934475494379169103e-01	4.654173498051034086e-02	-4.513655303934375161e-03	2.562831767979253939e-01	2.725848614428429961e-01	2.619954764229099897e-01	1.869292070916388215e-01	9.506268044747119283e-01	1.011122024218948479e+00	9.717462988375731303e-01	6.933225307042452101e-01	2.614286886231982354e+00
4.993927006359640819e-01	4.650178001834776031e-02	-8.927613470378336150e-03	2.594324626956889257e-01	2.757706080953120642e-01	2.651743379064955830e-01	1.892060053539011411e-01	9.600657949524167289e-01	1.020579174181056592e+00	9.811771240854262333e-01	7.000822565842313994e-01	2.655034111619170023e+00
5.053378518340112535e-01	4.643558498146588276e-02	-1.334054953550513171e-02	2.625785720396316414e-01	2.789547247448983525e-01	2.683562507360011118e-01	1.914850408968220286e-01	9.694934998154202122e-01	1.030030816326817700e+00	9.906198485538526555e-01	7.068506965339251824e-01	2.696737821000736446e+00
5.112830030320584251e-01	4.634316474393446184e-02	-1.774950188434416820e-02	2.657214985953872399e-01	2.821372548731456709e-01	2.715411995216484575e-01	1.937662826990598774e-01	9.789114197399136907e-01	1.039478714974223061e+00	1.000076018142261658e+00	7.136288800039871649e-01	2.739420960005491068e+00
5.172281542301057078e-01	4.622455182643209204e-02	-2.215149519609926551e-02	2.688612373971594471e-01	2.853182404890204360e-01	2.747291685147254525e-01	1.960497006148009258e-01	9.883210671712157058e-01	1.048924636382438269e+00	1.009547184834392430e+00	7.204178449985191302e-01	2.783107450601884469e+00
5.231733054281528794e-01	4.607979648608062639e-02	-2.654353762503281269e-02	2.719977846509329944e-01	2.884977221507336043e-01	2.779201416697399951e-01	1.983352653850123937e-01	9.977239674144058323e-01	1.058370350358472489e+00	1.019034908455415556e+00	7.272186392066186666e-01	2.827822235675201412e+00
5.291184566262000510e-01	4.590896682320355637e-02	-3.092261792605477747e-02	2.751311376421579080e-01	2.916757389890211050e-01	2.811141027031656137e-01	2.006229486454674249e-01	1.007121659770054745e+00	1.067817631899193431e+00	1.028540758446288228e+00	7.340323211433112949e-01	2.873591326309011151e+00
5.350636078242472227e-01	4.571214890535679753e-02	-3.528570251820110915e-02	2.782612946476489824e-01	2.948523287316204833e-01	2.843110351490114041e-01	2.029127229319350190e-01	1.016515698717582961e+00	1.077268262871398097e+00	1.038066315659922578e+00	7.408599613039495990e-01	2.920441851957588764e+00
