trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
84,0.24101412553568538,0.49239653904903424,0.5179717489286293,0.007876755933364545,0.015206921901931514,0.9444543217725262,0.9228924394376392,0.9444543217725262
85,0.26011738620808994,0.014896523464299039,0.4797652275838201,0.46547155964370585,0.9702069530714019,0.9815845192461637,0.7405051134670064,0.9815845192461636
86,0.23991622864878642,0.47006797162481395,0.5201675427024272,0.0311393392960397,0.0598640567503721,0.8109179216846553,0.264301223144189,0.8109179216846552
87,0.09068480017508633,0.2924456489578798,0.8186303996498273,0.33982060268534287,0.41510870208424044,0.5423009137644612,0.5415614329965945,0.5423009137644612
88,0.3645975259056912,0.04125517088793329,0.27080494818861756,0.2484607393589789,0.9174896582241334,0.05258506417733577,0.0034905414176706014,0.05258506417733577
89,0.11217744071476081,0.4301490308955818,0.7756451185704784,0.10835912642651852,0.13970193820883636,0.7317525254196099,0.7020164069478714,0.7317525254196098
90,0.07457660979942804,0.31236012436459315,0.8508467804011439,0.31930556811851396,0.3752797512708137,0.1759316076216364,0.0653900456285974,0.1759316076216364
91,0.37258344551686556,0.04000596351765362,0.2548331089662689,0.23444342084547926,0.9199880729646928,0.4478952714134793,0.4153962311816885,0.4478952714134793
92,0.481753033788237,0.48219729059371036,0.036493932423526054,0.0012993817480576116,0.03560541881257928,0.27182651598881036,0.1345161800889848,0.27182651598881036
93,0.4014463920614105,0.4167590517461723,0.19710721587717905,0.03281478311457662,0.16648189650765544,0.6826312037955762,0.681127943463084,0.6826312037955762
94,0.3188920566930344,0.27705997917878217,0.3622158866139312,0.1615048346069714,0.44588004164243566,0.5001675281468017,0.06564339754522615,0.5001675281468017
95,0.23946940987967968,0.3039349782235657,0.5210611802406406,0.20432374330147154,0.3921300435528686,0.059815838956793536,0.05699054633756407,0.05981583895679354
96,0.17350042939512675,0.27598372715515834,0.6529991412097464,0.2925648675693797,0.4480325456896833,0.7989007216414591,0.7965480664398947,0.798900721641459
97,0.199634096573658,0.3806342848742852,0.600731806852684,0.14341356344746684,0.23873143025142962,0.8473820825159013,0.18700488073616212,0.8473820825159014
98,0.19655230205057092,0.4145514369817475,0.6068953958988581,0.10371667896390174,0.17089712603650498,0.0064845429512147,0.00590361005942581,0.0064845429512147
99,0.41668928397914234,0.4868350616035808,0.1666214320417153,0.004387121776704657,0.02632987679283838,0.8617709390061689,0.24398960907178213,0.8617709390061687
100,0.3330272350823473,0.007713814047392964,0.33394552983530545,0.32879354239709013,0.9845723719052141,0.490793634025552,0.4907934566977626,0.490793634025552
101,0.20511762025236652,0.2440448256480679,0.589764759495267,0.3019066836864727,0.5119103487038642,0.7180511809196193,0.7166500379516423,0.7180511809196193
102,0.483177240226417,0.35799879808400686,0.03364551954716599,0.009555408429571224,0.28400240383198627,0.4207254653464657,0.23197987116455054,0.4207254653464657
