replication,local_seed,ensemble,control_index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
6,128142432,symmetric_radius_matched,7,0.3738494575045732,0.9493768540303701,0.6253250689279007,0.8313559322033899
6,128142432,symmetric_radius_matched,8,0.4318109116960832,0.9453402941803882,0.5293758828932986,0.9101694915254237
6,128142432,symmetric_radius_matched,9,0.4721034585925499,0.9504133490320369,0.5922447932586216,0.6855932203389831
6,128142432,symmetric_radius_matched,10,0.690915578179699,0.9495623296792247,0.5678029720345908,0.8516949152542372
6,128142432,symmetric_radius_matched,11,0.5965339832199121,0.9653335049278648,0.4846676622152556,0.9957627118644068
6,128142432,FIN,-1,0.2257890596335831,0.6966799589425281,0.6196370893545762,0.7491525423728813
7,108125417,isospectral_orientation,0,0.21267322658429355,0.6996495201610841,0.5466141824275859,0.9796610169491525
7,108125417,isospectral_orientation,1,0.215442397035715,0.6981080461113712,0.5668850102240004,0.9338983050847458
7,108125417,isospectral_orientation,2,0.22060945912270047,0.7142578619780613,0.5631675483922182,1.0
7,108125417,isospectral_orientation,3,0.20940130749426122,0.6962556410991508,0.5660640304921671,0.9872881355932204
