dynamics,nominal_time,preparation_vertex,robust_tv_5pct,median_tv,minimum_tv,maximum_tv,optimized_legacy_scale
wave,0.03665032046990375,11,0.0004631753895592828,0.0004780754093807895,0.000459547915984544,0.0005014804978510901,0.13044237640961015
wave,0.04477486635155489,0,0.0006938712568065745,0.0007132396501990471,0.0006877973257618524,0.0007498646304615989,0.13044237640961015
wave,0.04477486635155489,1,0.0006923099226631048,0.0007147053958946378,0.0006890499751266184,0.0007476371175862613,0.13044237640961015
wave,0.04477486635155489,2,0.0006955716151757174,0.0007144053615098205,0.0006919496243738002,0.0007420833020959204,0.13044237640961015
wave,0.04477486635155489,3,0.0006963566768571086,0.0007118982803499491,0.0006924803449196465,0.0007441276814092842,0.13044237640961015
wave,0.04477486635155489,4,0.000690428771299352,0.0007135958757890364,0.0006827905316471035,0.0007377718160233639,0.13044237640961015
wave,0.04477486635155489,5,0.000695625863329546,0.0007135381448180249,0.0006916488215370495,0.00074486668995819,0.13044237640961015
wave,0.04477486635155489,6,0.000696726118578084,0.0007128874668060569,0.0006916801230265122,0.0007556528950845845,0.13044237640961015
wave,0.04477486635155489,7,0.000693708249311351,0.0007148415814501312,0.0006900007538977056,0.0007407446027848532,0.13044237640961015
wave,0.04477486635155489,8,0.0006930506573832934,0.0007136962557045591,0.0006892058574023298,0.0007479329906050369,0.13044237640961015
wave,0.04477486635155489,9,0.0006929513535080429,0.0007106993037336441,0.0006890886870946847,0.0007399912192217289,0.13044237640961015
wave,0.04477486635155489,10,0.0006990508990116936,0.0007147452007377104,0.0006875818933022282,0.0007486939679448634,0.13044237640961015
wave,0.04477486635155489,11,0.0006911251193266231,0.0007133536592939696,0.0006857118611027914,0.0007482712573272807,0.13044237640961015
wave,0.05470044002605323,0,0.0010352320293067713,0.0010641218906253169,0.0010261710158755621,0.001118759785021219,0.13044237640961015
wave,0.05470044002605323,1,0.0010329018133586785,0.0010663116307482337,0.001028041887081626,0.0011154406531652613,0.13044237640961015
