row_type,cell,a_lower,a_upper,first_lower,first_upper,second_lower,second_upper,root_width,objective_lower,objective_upper,numerical_objective,left_derivative_lower,right_derivative_upper,maximum_second_derivative_upper
curvature_cell,44,0.22076988220214844,0.22083520889282227,0.026481347576841726,0.027986002961808216,-3.9830950704218324,-3.964910946094626,,,,,,,
curvature_cell,45,0.22083520889282227,0.2209005355834961,0.026221899365003323,0.027726262373271016,-3.982667818341643,-3.964488646681756,,,,,,,
curvature_cell,46,0.2209005355834961,0.22096586227416992,0.02596247877319181,0.027466549618798842,-3.9822412456561316,-3.964067018313916,,,,,,,
curvature_cell,47,0.22096586227416992,0.22103118896484375,0.025703085757395504,0.02720686465420304,-3.981815352062497,-3.9636460606937867,,,,,,,
curvature_cell,48,0.22103118896484375,0.22109651565551758,0.025443720273623054,0.02694720743531444,-3.9813901372585954,-3.9632257735247047,,,,,,,
curvature_cell,49,0.22109651565551758,0.2211618423461914,0.025184382277902356,0.02668757791798353,-3.980965600942945,-3.9628061565106525,,,,,,,
curvature_cell,50,0.2211618423461914,0.22122716903686523,0.024925071726280622,0.026427976058080272,-3.980541742814728,-3.9623872093562675,,,,,,,
curvature_cell,51,0.22122716903686523,0.22129249572753906,0.024665788574824665,0.026168401811494327,-3.9801185625737863,-3.9619689317668283,,,,,,,
curvature_cell,52,0.22129249572753906,0.2213578224182129,0.02440653277962011,0.025908855134135007,-3.979696059920626,-3.9615513234482664,,,,,,,
curvature_cell,53,0.2213578224182129,0.22142314910888672,0.024147304296771876,0.02564933598193091,-3.979274234556414,-3.961134384107153,,,,,,,
curvature_cell,54,0.22142314910888672,0.22148847579956055,0.023888103082404657,0.02538984431083,-3.978853086182974,-3.9607181134507154,,,,,,,
curvature_cell,55,0.22148847579956055,0.22155380249023438,0.023628929092662062,0.02513038007679976,-3.978432614502784,-3.960302511186826,,,,,,,
curvature_cell,56,0.22155380249023438,0.2216191291809082,0.02336978228370634,0.02487094323582705,-3.9780128192189896,-3.959887577023999,,,,,,,
curvature_cell,57,0.2216191291809082,0.22168445587158203,0.023110662611719218,0.024611533743918324,-3.977593700035397,-3.9594733106713886,,,,,,,
curvature_cell,58,0.22168445587158203,0.22174978256225586,0.02285157003290182,0.024352151557098262,-3.9771752566564493,-3.9590597118388087,,,,,,,
curvature_cell,59,0.22174978256225586,0.2218151092529297,0.022592504503473606,0.024092796631411995,-3.9767574887872716,-3.958646780236703,,,,,,,
curvature_cell,60,0.2218151092529297,0.22188043594360352,0.022333465979673683,0.02383346892292314,-3.976340396133629,-3.9582345155761627,,,,,,,
curvature_cell,61,0.22188043594360352,0.22194576263427734,0.02207445441775933,0.023574168387714745,-3.975923978401945,-3.9578229175689255,,,,,,,
curvature_cell,62,0.22194576263427734,0.22201108932495117,0.02181546977400693,0.023314894981888618,-3.97550823529931,-3.957411985927361,,,,,,,
curvature_cell,63,0.22201108932495117,0.222076416015625,0.02155651200471195,0.023055648661566414,-3.975093166533449,-3.9570017203644965,,,,,,,
curvature_cell,64,0.222076416015625,0.22214174270629883,0.02129758106618895,0.022796429382887357,-3.9746787718127545,-3.9565921205939865,,,,,,,
curvature_cell,65,0.22214174270629883,0.22220706939697266,0.0210386769147704,0.02253723710201071,-3.974265050846269,-3.956183186330134,,,,,,,
curvature_cell,66,0.22220706939697266,0.22227239608764648,0.020779799506807858,0.02227807177511504,-3.97385200334369,-3.955774917287874,,,,,,,
curvature_cell,67,0.22227239608764648,0.2223377227783203,0.020520948798671567,0.022018933358396445,-3.9734396290153584,-3.955367313182792,,,,,,,
curvature_cell,68,0.2223377227783203,0.22240304946899414,0.020262124746750623,0.021759821808071348,-3.97302792757228,-3.9549603737311,,,,,,,
curvature_cell,69,0.22240304946899414,0.22246837615966797,0.020003327307452367,0.02150073708037355,-3.972616898726099,-3.954554098649658,,,,,,,
curvature_cell,70,0.22246837615966797,0.2225337028503418,0.019744556437202587,0.02124167913155674,-3.972206542189119,-3.954148487655958,,,,,,,
curvature_cell,71,0.2225337028503418,0.22259902954101562,0.019485812092446205,0.02098264791789276,-3.9717968576742906,-3.953743540468133,,,,,,,
curvature_cell,72,0.22259902954101562,0.22266435623168945,0.01922709422964555,0.02072364339567215,-3.971387844895213,-3.9533392568049495,,,,,,,
curvature_cell,73,0.22266435623168945,0.22272968292236328,0.018968402805282444,0.02046466552120402,-3.9709795035661295,-3.952935636385813,,,,,,,
curvature_cell,74,0.22272968292236328,0.2227950096130371,0.018709737775856588,0.02020571425081669,-3.970571833401942,-3.9525326789307607,,,,,,,
curvature_cell,75,0.2227950096130371,0.22286033630371094,0.018451099097885722,0.019946789540856092,-3.9701648341181954,-3.952130384160468,,,,,,,
curvature_cell,76,0.22286033630371094,0.22292566299438477,0.018192486727906406,0.019687891347687145,-3.9697585054310767,-3.951728751796247,,,,,,,
curvature_cell,77,0.22292566299438477,0.2229909896850586,0.017933900622472947,0.019429019627693642,-3.969352847057428,-3.951327781560036,,,,,,,
curvature_cell,78,0.2229909896850586,0.22305631637573242,0.017675340738158487,0.019170174337276805,-3.968947858714731,-3.950927473174412,,,,,,,
curvature_cell,79,0.22305631637573242,0.22312164306640625,0.01741680703155368,0.018911355432857036,-3.968543540121113,-3.9505278263625865,,,,,,,
curvature_cell,80,0.22312164306640625,0.22318696975708008,0.01715829945926783,0.01865256287087264,-3.9681398909953534,-3.9501288408484005,,,,,,,
curvature_cell,81,0.22318696975708008,0.2232522964477539,0.016899817977927705,0.018393796607780708,-3.9677369110568694,-3.949730516356323,,,,,,,
curvature_cell,82,0.2232522964477539,0.22331762313842773,0.01664136254417908,0.01813505660005574,-3.967334600025714,-3.949332852611469,,,,,,,
curvature_cell,83,0.22331762313842773,0.22338294982910156,0.016382933114684233,0.01787634280419158,-3.96693295762261,-3.9489358493395588,,,,,,,
curvature_cell,84,0.22338294982910156,0.2234482765197754,0.016124529646124732,0.017617655176699182,-3.966531983568894,-3.9485395062669677,,,,,,,
curvature_cell,85,0.2234482765197754,0.22351360321044922,0.015866152095199964,0.01735899367410804,-3.966131677586556,-3.948143823120694,,,,,,,
curvature_cell,86,0.22351360321044922,0.22357892990112305,0.015607800418626387,0.017100358252966106,-3.965732039398238,-3.947748799628348,,,,,,,
curvature_cell,87,0.22357892990112305,0.22364425659179688,0.0153494745731388,0.016841748869838722,-3.9653330687272037,-3.947354435518196,,,,,,,
curvature_cell,88,0.22364425659179688,0.2237095832824707,0.01509117451548994,0.016583165481309687,-3.9649347652973694,-3.946960730519115,,,,,,,
curvature_cell,89,0.2237095832824707,0.22377490997314453,0.014832900202449496,0.016324608043980466,-3.964537128833293,-3.9465676843606112,,,,,,,
curvature_cell,90,0.22377490997314453,0.22384023666381836,0.014574651590806285,0.016066076514470538,-3.964140159060162,-3.946175296772822,,,,,,,
curvature_cell,91,0.22384023666381836,0.2239055633544922,0.014316428637365276,0.015807570849417644,-3.963743855703814,-3.945783567486507,,,,,,,
curvature_cell,92,0.2239055633544922,0.22397089004516602,0.01405823129894984,0.01554909100547658,-3.963348218490719,-3.945392496233055,,,,,,,
