relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error,relative_curve_rmse,minimum_fitted_pole_separation
0.0001,28,0.2008901062166593,3.4674165912484214,7.984468052323786e-05,1.67478101515961e-05
0.0001,29,0.21860423112723842,4.834360548735975,8.319579439414703e-05,0.00015242602046972031
0.0001,30,0.5303524744551252,1.0387861993124825,9.685516268128024e-05,0.7398790919341627
0.0001,31,0.22346338207063463,5.157063008439541,9.000516575465951e-05,9.852343572314126e-05
0.0001,32,0.15976231612486702,0.06497864512776624,0.00010361629007485269,2.8862745466984308e-05
0.0001,33,0.1580584835003119,2.589083669679029,9.75287719283544e-05,3.248031301672505e-05
0.0001,34,0.17941646414355264,0.8614848408311241,0.0001032873515392752,0.35525386744978604
0.0001,35,0.35041437241800966,0.6952451413515747,9.490542692812579e-05,0.354399809612032
0.0001,36,0.21145697135928354,4.293551445544123,0.0001029120778621538,1.539168650310785e-07
0.0001,37,0.21170322265525066,4.211941756235626,0.00010513425757349269,3.226477189866017e-07
0.0001,38,0.21516773984112322,4.549062685749466,9.067679305526448e-05,2.392707853426934e-05
0.0001,39,0.18035559405010998,1.0258840335118458,7.993924359140817e-05,1.5642128675885658e-05
0.0001,40,0.5303524744248126,1.0812843005108332,8.886026574017166e-05,0.7510573831132751
0.0001,41,0.21475255353919787,4.504286160184269,9.377635788316716e-05,5.11063783283916e-05
0.0001,42,0.3504144216413836,1.092700805143339,8.606540949066486e-05,0.46438379243288364
0.0001,43,0.5303524744549759,1.0173571736845866,8.872322062558013e-05,0.735161026772725
0.0001,44,0.530352474438156,1.0022985021040263,8.872521859899404e-05,0.6713388499878712
0.0001,45,0.1511571321762058,0.4393447435391696,8.886907022537347e-05,4.676728562924559e-05
0.0001,46,0.21390035736895685,4.4489366613927865,9.882683641536991e-05,1.4266092248860218e-05
0.0001,47,0.2050154286139041,3.764112861281586,0.00011527137590597796,8.894225141942158e-06
0.0001,48,0.21544693956786856,4.624530668287912,8.654284433046977e-05,3.180000927005544e-05
0.0001,49,0.1757775864670912,1.3644389094678424,9.43539015335189e-05,0.3381532606574029
0.0001,50,0.2184009058967194,4.787224468717232,0.00010215735421246779,9.158859866742475e-05
0.0001,51,0.05273125463384155,0.8236976226800302,0.00010086978966444774,0.356592036990081
0.0001,52,0.3504144472041137,1.1177233370433335,0.00010378230194932091,0.5093843571489777
0.0001,53,0.2135907245495855,4.4068964545899645,9.525524600400507e-05,1.889886781247796e-05
0.0001,54,0.21918362782754267,4.857008957306429,9.00438044696584e-05,2.310043030329112e-05
0.0001,55,0.3504144201947341,1.083920356489583,0.00010188756585082602,0.4732376464836523
0.0001,56,0.2168112432234673,4.638940682204006,7.56424916370395e-05,6.867785021791306e-06
0.0001,57,0.2108295553310686,4.286547615957275,0.00010273452375859457,7.75377979964631e-05
0.0001,58,0.23446596076394713,5.948895885437782,0.00010699459987582337,1.9453906351607486e-05
0.0001,59,0.21976018590619512,4.906758076868928,0.0001070776120904183,0.0006135979975108175
0.001,0,0.3504144386290905,1.174072252521943,0.000919830660887418,0.6133603604327174
0.001,1,0.3452375761187088,0.5967898291452093,0.0011902130198153448,3.2336255921805446e-06
0.001,2,0.35339380076204296,1.198105802609241,0.0007989958601764318,0.5795173455392622
0.001,3,0.5303524744551268,1.6811931193401308,0.0009380315829811182,0.6132560338148139
0.001,4,0.5303524744551268,1.1245964794778507,0.0009744558736756985,0.7657355163091305
0.001,5,0.174154712043342,0.9999999360571633,0.0010976278063099894,0.47052442220937674
0.001,6,0.1691283720296114,0.9123712911293598,0.0008842391378053665,8.214961705999002e-06
0.001,7,0.3504144321628526,0.8935103799641599,0.0008327849295244919,2.4550829811786912e-05
0.001,8,0.5303524744551265,1.1850922913079711,0.0010428315360502317,0.7824293700567951
0.001,9,0.16609756260319916,0.8929865401508797,0.0011013563013594094,0.0001561420827624893
0.001,10,0.10111833521221221,0.9999999482208092,0.0009101349574805261,0.4167003772373339
0.001,11,0.1646316995037919,0.8638100171673361,0.0010018194744570257,2.7525539317396763e-05
0.001,12,0.18962930480858775,2.4692788825528864,0.0011134896677821645,1.2320355136097305e-07
0.001,13,0.5303524744551268,0.9915027217360738,0.0009520764800284978,0.43239674056280375
0.001,14,0.19036156447854705,7.395000902220355,0.0009197821783275986,0.07571555640768302
0.001,15,0.18179596897017905,0.9999999483911348,0.0009326915455217203,0.47836861702317623
