uses,survival,coherence,fraction_of_ideal_threshold,time,product_lower,GHZ_lower,winner,advantage
4,0.9,0.7,0.25,0.04497731337533683,0.11505967015436552,0.06028397185393396,product,0.054775698300431566
4,0.9,0.7,0.5,0.08995462675067366,0.22697847601860544,0.11139025546867214,product,0.1155882205499333
4,0.9,0.7,0.75,0.13493194012601048,0.33288337038492344,0.14553838244348527,product,0.18734498794143817
4,0.9,0.7,1.0,0.17990925350134732,0.43040010350979147,0.15752960999999996,product,0.27287049350979153
4,0.9,0.9,0.25,0.04497731337533683,0.1589935602374013,0.1647326694434239,GHZ,0.005739109206022608
4,0.9,0.9,0.5,0.08995462675067366,0.3116846536412764,0.3043862832694536,product,0.007298370371822793
4,0.9,0.9,0.75,0.13493194012601048,0.45244276606451883,0.39769984473623793,product,0.0547429213282809
4,0.9,0.9,1.0,0.17990925350134732,0.5768861067863394,0.43046721000000004,product,0.1464188967863394
4,0.9,1.0,0.25,0.04497731337533683,0.184034899700215,0.2510785999747354,GHZ,0.06704370027452042
4,0.9,1.0,0.5,0.08995462675067366,0.35941898800085975,0.4639327591364938,GHZ,0.10451377113563404
4,0.9,1.0,0.75,0.13493194012601048,0.5184917265000031,0.6061573612806552,GHZ,0.08766563478065215
4,0.9,1.0,1.0,0.17990925350134732,0.6554338511349764,0.6561,GHZ,0.0006661488650235858
4,1.0,0.5,0.25,0.04497731337533683,0.08082072889534364,0.02391771452281811,product,0.056903014372525526
4,1.0,0.5,0.5,0.08995462675067366,0.1600409160311069,0.044194173824159216,product,0.11584674220694768
4,1.0,0.5,0.75,0.13493194012601048,0.2361591318058059,0.05774247078195542,product,0.17841666102385045
4,1.0,0.5,1.0,0.17990925350134732,0.3078602985602263,0.0625,product,0.2453602985602263
4,1.0,0.7,0.25,0.04497731337533683,0.12102048301278955,0.09188229211085804,product,0.02913819090193151
4,1.0,0.7,0.5,0.08995462675067366,0.23846880611517324,0.16977633816289,product,0.06869246795228323
4,1.0,0.7,0.75,0.13493194012601048,0.3490978265203183,0.2218234757559599,product,0.1272743507643584
4,1.0,0.7,1.0,0.17990925350134732,0.4502628170093338,0.24009999999999995,product,0.21016281700933384
4,1.0,0.9,0.25,0.04497731337533683,0.16803482582253307,0.2510785999747354,GHZ,0.08304377415220235
4,1.0,0.9,0.5,0.08995462675067366,0.32878465262929724,0.4639327591364938,GHZ,0.13514810650719655
4,1.0,0.9,0.75,0.13493194012601048,0.4758034008552851,0.6061573612806552,GHZ,0.13035396042537012
4,1.0,0.9,1.0,0.17990925350134732,0.6041952807321024,0.6561,GHZ,0.05190471926789764
4,1.0,1.0,0.25,0.04497731337533683,0.19462571667129128,0.3826834323650898,GHZ,0.1880577156937985
4,1.0,1.0,0.5,0.08995462675067366,0.3791673530499912,0.7071067811865475,GHZ,0.32793942813655624
4,1.0,1.0,0.75,0.13493194012601048,0.5447935027529248,0.9238795325112867,GHZ,0.3790860297583619
4,1.0,1.0,1.0,0.17990925350134732,0.6849890196602021,1.0,GHZ,0.3150109803397979
