pair,window_idx,start,stop,max_abs_corr,best_lag_ms,corr_at_0ms,corr_at_10ms,mean_abs_corr
H1-L1,168,1376256,1409024,0.010680163632435125,2.44140625,-0.010002121751200233,-0.007268213081306672,0.006652845098686102
H1-L1,169,1384448,1417216,0.007222356233972601,4.39453125,-0.004867737285568575,-0.005660736594225369,0.0039028946313460775
H1-L1,170,1392640,1425408,0.012713501904778936,-1.708984375,-0.012185282878109051,-0.006936217685330868,0.007656572362553504
H1-L1,171,1400832,1433600,0.00774284086253107,-9.27734375,-0.0031616635503411566,0.004053711001590199,0.004471775721270001
H1-L1,172,1409024,1441792,0.006047217871027202,-9.27734375,-0.0015965997441801146,0.003909912695183575,0.003735871985829098
H1-L1,173,1417216,1449984,0.011808406850887774,-6.34765625,-0.006764803172379545,0.007094983663552016,0.007483458020470517
H1-L1,174,1425408,1458176,0.00916244047348605,8.30078125,0.005262450266614181,0.00888108088578833,0.005693671089703968
H1-L1,175,1433600,1466368,0.005240499983119005,-14.16015625,0.002828023320239835,0.0035975867109498258,0.002876075727151412
H1-L1,176,1441792,1474560,0.007177787808915871,13.427734375,0.0020066763556816337,-0.0046497442179190334,0.0038710605396926616
H1-L1,177,1449984,1482752,0.010853384572807677,-7.568359375,0.005570771018930514,-0.0071803247886226005,0.0070279151419328
H1-L1,178,1458176,1490944,0.010674280941235093,-12.939453125,0.00018033737966184705,-0.00955894897883247,0.0069091595180160205
H1-L1,179,1466368,1499136,0.008229586017995612,-13.18359375,0.0006943312032794342,-0.004908133004998745,0.004421454674999433
H1-L1,180,1474560,1507328,0.003976391909244311,-1.220703125,0.0037299223149476622,0.0013775663184403793,0.002290330526034217
H1-L1,181,1482752,1515520,0.005181736870248738,14.892578125,0.0015288316356687718,-0.0023530736461432437,0.002184365910518109
H1-L1,182,1490944,1523712,0.007763972115023146,4.150390625,0.0064069877944533315,0.0056171288088993,0.0037600477667023642
H1-L1,183,1499136,1531904,0.012138694254428086,4.39453125,0.009751007760900909,0.008674671010548422,0.006861477225638768
H1-L1,184,1507328,1540096,0.013572148568434047,6.591796875,0.009321793067149774,0.010808086154580716,0.007553742573109874
H1-L1,185,1515520,1548288,0.015530214758291028,4.8828125,0.011388165319465356,0.012624274363632091,0.008937896335147412
H1-L1,186,1523712,1556480,0.009383631754733925,14.892578125,-0.003844548455400379,0.004878888958728095,0.004109706535474379
H1-L1,187,1531904,1564672,0.006139458679556166,-14.6484375,-0.004515490423667748,0.0009239196396995055,0.002711632242051282
H1-L1,188,1540096,1572864,0.011223044654690794,0.48828125,-0.010232281460752387,-0.003976831629300722,0.005851746123528048
H1-L1,189,1548288,1581056,0.013848797924074006,0.732421875,-0.011989122628174911,-0.006658684937368008,0.007436421152486712
H1-L1,190,1556480,1589248,0.007325616579057966,-8.056640625,0.003974828856699047,-0.0016403646784660649,0.003761930960803133
H1-L1,191,1564672,1597440,0.01188675742629308,10.498046875,-0.002371569282168582,-0.01113140480653676,0.006691268140445932
H1-L1,192,1572864,1605632,0.006891439485405694,13.916015625,0.0018328165059879097,-0.004596358913131243,0.0030128319714086724
H1-L1,193,1581056,1613824,0.012053534704111897,-3.173828125,0.009268385138123217,-0.004134043944686693,0.0069046040906201875
H1-L1,194,1589248,1622016,0.008966891462578756,13.916015625,-0.0007802346993855032,-0.008006319020460095,0.0036587710355633525
H1-L1,195,1597440,1630208,0.008504569518759199,-9.033203125,0.0005851052064003883,-0.007484208443496065,0.005008572165951002
H1-L1,196,1605632,1638400,0.01947708399559922,-12.6953125,-0.0018920793934577732,-0.017031162128454774,0.012074936752422322
H1-L1,197,1613824,1646592,0.013846443342679636,-12.6953125,-0.00048584839314071886,-0.011128572219471026,0.008101424891117025
H1-L1,198,1622016,1654784,0.012924960221851804,-12.939453125,-1.9964392282523943e-05,-0.009691000561781404,0.007758347068897288
H1-L1,199,1630208,1662976,0.0078280006813225,-14.892578125,-0.004097433530453673,-0.0064287176237862245,0.004659702572161457
H1-L1,200,1638400,1671168,0.008429398411231928,14.892578125,0.005198067132764875,-0.0034984260201370823,0.004465413361685727
H1-L1,201,1646592,1679360,0.0043836924416121555,0.244140625,0.004067894618451774,0.0012732111866928086,0.0023324475655780714
H1-L1,202,1654784,1687552,0.007235368418757837,14.892578125,0.00459266169357717,-0.0022209063261194686,0.004146904518718942
H1-L1,203,1662976,1695744,0.013129450652313562,-5.615234375,0.009753954732994244,-0.004562142223161096,0.008344071711600922
H1-L1,204,1671168,1703936,0.001483990814773331,14.892578125,-0.00013611984739186856,0.0005190696438108649,0.0004923757707237484
H1-L1,205,1679360,1712128,0.004143233356102531,-8.056640625,-0.0022707546867438903,-0.0014558848552190702,0.002131390706255503
H1-L1,206,1687552,1720320,0.0035621260494418296,13.916015625,-0.0028428629546016788,-0.0025226055757578314,0.002519292728804878
H1-L1,207,1695744,1728512,0.013987505822773956,-9.521484375,-0.007597505259146699,0.0035370647397571643,0.007802287116333348
H1-L1,208,1703936,1736704,0.008444768277094417,-6.34765625,-0.008135869953251029,-0.005514764306543713,0.006726476883619626
H1-L1,209,1712128,1744896,0.007361025454766359,7.080078125,-0.005078077557407286,-0.005471749322027509,0.00427747974157049
H1-L1,210,1720320,1753088,0.005190767603129234,7.080078125,-0.0028643757845771486,-0.004089597486526624,0.002867622410248781
H1-L1,211,1728512,1761280,0.0058285942877096784,14.892578125,0.0020486627072954467,-0.003488603543252373,0.0023553371648446374
H1-L1,212,1736704,1769472,0.005783373118463784,12.939453125,0.00031251197318297986,-0.004443267698813788,0.0024791095875741384
H1-L1,213,1744896,1777664,0.004303668184688789,12.20703125,-0.0011397013283292372,-0.004082389863620985,0.0018581700314866942
H1-L1,214,1753088,1785856,0.0034391742347629002,-14.892578125,-0.0017485079403185692,-0.0020855100204924186,0.0023487971560523413
H1-L1,215,1761280,1794048,0.004732366716466444,-11.23046875,-0.0036590132629284676,-0.0014991731450010816,0.0030833845176211844
H1-L1,216,1769472,1802240,0.009507404961144307,-1.708984375,-0.008990195855015776,-0.002361659540343854,0.006078407999730997
H1-L1,217,1777664,1810432,0.0032322999665500216,10.498046875,0.00016618902127777502,0.0029316102156677426,0.001724671734862205
H1-L1,218,1785856,1818624,0.0070214772314999875,12.6953125,0.0007205147675409766,0.005964399670719534,0.004272317089861907
H1-L1,219,1794048,1826816,0.008114887702231656,-6.103515625,-0.006818645747383728,0.0009144213513715514,0.004861287988129257
H1-L1,220,1802240,1835008,0.010099253899750575,4.638671875,0.008278196390579173,0.008822050512640046,0.00647143274505804
H1-L1,221,1810432,1843200,0.00990042522328282,-13.916015625,0.0004887712002101958,0.002061953295063735,0.0029912805046159786
H1-L1,222,1818624,1851392,0.0036274235482607257,-2.685546875,0.002878771127567853,0.0002489553392741723,0.00174238871929504
H1-L1,223,1826816,1859584,0.01189150704500598,-2.685546875,0.009569597811805186,0.0033313624668771455,0.006938659353330528
H1-L1,224,1835008,1867776,0.010447988889373516,-6.591796875,0.006223350691866748,-0.0003114422377292496,0.005200155630910162
H1-L1,225,1843200,1875968,0.007306067598689335,-12.451171875,0.003623636073165392,0.0020777418260809898,0.003958433457400199
H1-L1,226,1851392,1884160,0.012014195715277844,-14.404296875,-0.0019252385621671545,-0.006098887037366922,0.00543868821969087
H1-L1,227,1859584,1892352,0.010719275698280736,-14.6484375,-0.001539057701355315,-0.006955388583533584,0.005541519874316038
H1-L1,228,1867776,1900544,0.00521047545899962,6.34765625,-0.003168882487075132,-0.004506496813447652,0.0025878420729454777
H1-L1,229,1875968,1908736,0.010318686783581244,8.056640625,-0.0053685812331711324,-0.009916893967855105,0.006385014228388916
