row_type,omega,phi,beta,eta,score,all_pass,index,normalized_distance_from_frozen
local_perturbation,0.1846126805797366,0.148336668668443,0.9722902561309215,1.7682687233996697,2.7801118049002,False,38,1.3824479052259866
local_perturbation,0.19078110018508632,0.14078677216305371,1.0,1.8,1.94613534859874,True,39,1.4690972964762918
local_perturbation,0.18335463734210802,0.1624999999999998,1.0,1.7776534038247866,2.2227810711238996,True,40,0.6866503917312754
local_perturbation,0.19023888693747118,0.15951375903232526,0.9579653406279588,1.8,1.9966068020192869,True,41,1.4246495545881663
local_perturbation,0.1800065803576498,0.1624999999999998,0.9250511070792881,1.8,2.785176388829178,False,42,2.345609255410714
local_perturbation,0.1842108455326075,0.13826495987851667,0.9874791864822321,1.8,2.1810759212259736,True,43,1.4165276698989149
local_perturbation,0.1839785035726789,0.1307100262603379,1.0,1.8,2.1994027904468783,True,44,1.790618751855179
local_perturbation,0.18941367189260416,0.14872633635156715,0.9715449814497626,1.8,1.9164147835987435,True,45,1.272538135389251
local_perturbation,0.18957484901930463,0.16023285096336204,0.9992255705415485,1.8,2.0560920330692283,True,46,0.6501752382718248
local_perturbation,0.189217100043633,0.15727190168833188,0.994408365593753,1.8,1.9927160603052383,True,47,0.6661796684219231
local_perturbation,0.17316066816630418,0.14328768599798322,1.0,1.7233436366754347,5.860311341736134,False,48,3.0355225088728957
local_perturbation,0.18187502865260427,0.15655436480730736,0.9464758850955172,1.7638865212908348,3.3483008839559885,False,49,1.9183204342045492
local_perturbation,0.19499813265699956,0.14625908670818916,1.0,1.8,2.2461274839128653,True,50,1.7860215834874291
local_perturbation,0.1863269808162654,0.1624999999999998,0.9564866728312411,1.8,1.9829582127721868,True,51,1.2469514570941482
local_perturbation,0.19177450789629136,0.15485285708731994,0.995403813638082,1.8,2.1186884353694744,True,52,1.0981443121768184
local_perturbation,0.1892653577907099,0.1624999999999998,1.0,1.7984413537590678,2.0453825860402857,True,53,0.5871873022216743
local_perturbation,0.19422042960736852,0.1624999999999998,1.0,1.7674982538389388,1.995748169324059,True,54,1.6288744969264102
local_perturbation,0.18361004819902005,0.1624999999999998,1.0,1.7583648282938469,2.58547619467907,False,55,1.100288636096565
local_perturbation,0.18602300332857533,0.1167614792844831,1.0,1.8,2.254698663808548,True,56,2.5414362704321687
local_perturbation,0.18726092875779354,0.15288288921889415,0.9874172517073851,1.7922672969920328,1.9403771153659215,True,57,0.7179766036569323
local_perturbation,0.18740415544649663,0.14540427266354097,0.994766578665984,1.7329829978151274,3.1756345431551103,False,58,1.9512720680959277
local_perturbation,0.17322093269307087,0.15651649064715986,0.9522382712023382,1.8,3.5186750435292486,False,59,2.516580627157706
local_perturbation,0.178096163085029,0.1593339201993587,0.9554202240569755,1.8,2.7294780890150485,False,60,1.811222331080199
local_perturbation,0.19180338612495432,0.1436347272503947,0.9880871585692179,1.7465373797895853,2.6491262240242888,False,61,2.0046405484697534
local_perturbation,0.18159249597369453,0.1575147155037393,1.0,1.7935120287360244,2.113900935326844,True,62,0.7636426021549382
local_perturbation,0.18654810518900564,0.1624999999999998,0.9350927568017401,1.8,2.1532581680961993,True,63,1.8592570290557409
local_perturbation,0.18434810467406657,0.1624999999999998,1.0,1.7761261115166107,2.1868185778451816,True,64,0.6409512875734327
local_perturbation,0.1906213616736953,0.1191414083952305,0.9744196875590904,1.8,2.139494653205775,True,65,2.644939540259513
local_perturbation,0.18459475751245907,0.1624999999999998,0.9968474053242325,1.7736451238643696,2.2417900729617806,True,66,0.6923130403732893
local_perturbation,0.18916618359605591,0.15676652448649375,0.9604996253563752,1.7993100748706525,1.93612229766422,True,67,1.3036983909423165
local_perturbation,0.1854856488649355,0.1624999999999998,0.9526154289969617,1.7894497690925435,2.260865028086811,True,68,1.3800015347241517
local_perturbation,0.18928934972512862,0.14346056949760594,0.9535388293527983,1.8,2.078560266050632,True,69,1.796929166524895
local_perturbation,0.19557711202391848,0.1624999999999998,1.0,1.7743350764814252,2.162895120867763,True,70,1.759045017607919
local_perturbation,0.19295486616844051,0.1624999999999998,1.0,1.7715601482610024,1.9616685572446415,True,71,1.3955152648673703
local_perturbation,0.1921855878613575,0.1624999999999998,0.9927334370003896,1.7146641938684077,2.9771113533939597,False,72,2.396861643724544
local_perturbation,0.18171361696206403,0.1558509740702922,0.9947857833291021,1.7353918043649386,3.5725348847003726,False,73,1.7944627943027491
local_perturbation,0.19265308483219015,0.1522155613521425,1.0,1.8,2.165173855749042,True,74,1.2845747964724792
local_perturbation,0.17606456388573666,0.15936979382893574,0.9847535087347343,1.8,2.6816040450911554,False,75,1.6810025593357418
local_perturbation,0.19767737926209214,0.14424586428152955,1.0,1.7683533650590022,2.0322121254960166,True,76,2.367723114338435
local_perturbation,0.18402670879215322,0.1624999999999998,0.9997643881688129,1.8,1.8389272129451482,True,77,0.28729408024515113
local_perturbation,0.1795013807774061,0.1624999999999998,0.9803000660715192,1.8,2.2281619358666136,True,78,1.1838057691183086
local_perturbation,0.1708152050409833,0.15564509564967205,0.9988804226594602,1.8,3.291585029474372,False,79,2.518299778867209
local_perturbation,0.18813112091887974,0.15813486077846842,0.9820480255344388,1.7143354614988457,3.474605338817747,False,80,2.2507534805069933
local_perturbation,0.1892184435424923,0.13896463754010457,1.0,1.8,1.872098059566451,True,81,1.4296077675683851
local_perturbation,0.18304738452791242,0.15891341950431384,0.9883694482663288,1.8,1.9739396518078982,True,82,0.5941541279736837
local_perturbation,0.18372431257518912,0.1624999999999998,1.0,1.8,1.8461159744956068,True,83,0.3376145708018132
local_perturbation,0.1875731786403498,0.1489980221865978,0.9537022238228602,1.8,2.107395444074937,True,84,1.5507354832710822
local_perturbation,0.18433637189011345,0.1624999999999998,0.9600219587361769,1.746839037341751,3.1798455164031814,False,85,1.7681921104597706
local_perturbation,0.17889298726659159,0.152884574420545,1.0,1.8,2.2839120044756878,True,86,1.261519784136984
local_perturbation,0.18046353610420957,0.12043781695993783,0.9776913060469647,1.760263754910268,4.258969134668284,False,87,2.7622451902441783
local_perturbation,0.18521926078779102,0.1624999999999998,1.0,1.8,1.8613364423226098,True,88,0.08845653536816249
local_perturbation,0.19081320253528794,0.15148393999859971,1.0,1.7755843324750211,1.9578115513914804,True,89,1.2079891379053842
local_perturbation,0.18441376972428247,0.1624999999999998,1.0,1.8,1.8385539532550748,True,90,0.22270504595292098
local_perturbation,0.18931908064294312,0.1624999999999998,1.0,1.8,2.0671861837936527,True,91,0.594846773823853
local_perturbation,0.18400010006990586,0.1624999999999998,1.0,1.7937520965278935,1.8927737680691594,True,92,0.3308434702800726
local_perturbation,0.18706671329631677,0.1624999999999998,0.9937083701185634,1.8,1.9295385419285702,True,93,0.2836780563831624
local_perturbation,0.18767832158864214,0.1624999999999998,1.0,1.787161032554305,1.8571718597695857,True,94,0.454217995978153
local_perturbation,0.1817160032768457,0.14659011740768169,1.0,1.8,2.1356969612884265,True,95,1.1105311405285918
local_perturbation,0.1903282806160578,0.14955065157003955,1.0,1.7816591837882878,1.9185901898562747,True,96,1.1445652269941295
local_perturbation,0.18739601103916823,0.14889823837304117,1.0,1.760085988621226,2.4855039744253977,True,97,1.2813965327902987
local_perturbation,0.18858630850983749,0.1624999999999998,1.0,1.8,2.0255974045565077,True,98,0.47271808497291457
local_perturbation,0.17016039015902604,0.1624999999999998,0.9636634692072161,1.7774987648590024,4.290365295773386,False,99,2.853992044083606
local_perturbation,0.179551214617708,0.1624999999999998,0.9698051844237038,1.7539818375231566,3.4812117376116785,False,100,1.7706413657537647
local_perturbation,0.18735319027882094,0.1624999999999998,1.0,1.7800554749611752,1.9367729270329337,True,101,0.5656942845387465
local_perturbation,0.17041410214137706,0.1624999999999998,1.0,1.8,3.188615221586805,False,102,2.555982976437156
local_perturbation,0.18006436920929758,0.1624999999999998,1.0,1.8,2.0322073489034826,True,103,0.9476051317837362
local_perturbation,0.19124397987022596,0.14775256543144943,0.961057960592707,1.779039267181823,2.227403016208172,True,104,1.7384576442626307
local_perturbation,0.1920453820849229,0.15286228893488002,1.0,1.8,2.1325872962823227,True,105,1.1779507144147732
local_perturbation,0.1898327559942519,0.1624999999999998,1.0,1.8,2.101975265359416,True,106,0.6804593323753161
local_perturbation,0.18635465433304488,0.1335322405051189,0.9806627127491553,1.7322527200747955,3.825416866875165,False,107,2.4028888368565737
local_perturbation,0.1809289721396211,0.1350646661329696,1.0,1.8,2.4271828930279753,True,108,1.723009077480844
