times,minimum_fisher_eigenvalue,condition_number,cramer_rao_sd_log_scale,cramer_rao_sd_quadratic_clock,cramer_rao_sd_cubic_clock
"[0.05, 0.46818181818181814, 0.7818181818181819, 0.9909090909090909]",18.59214870958461,833.9019994191138,0.052023760753492895,0.17993995544931038,0.14177869143273897
"[0.05, 0.46818181818181814, 0.7818181818181819, 1.0954545454545455]",25.404936470330114,648.432499751465,0.05013572799522753,0.15859641346415304,0.11285087635537168
"[0.05, 0.46818181818181814, 0.7818181818181819, 1.2]",32.26787612373771,544.6168286662079,0.04870039636170003,0.14382298622202289,0.09344261072455018
"[0.05, 0.46818181818181814, 0.8863636363636364, 0.9909090909090909]",15.681837316192187,1045.9951036447687,0.0536911027075217,0.19582224603124831,0.15456921742584862
"[0.05, 0.46818181818181814, 0.8863636363636364, 1.0954545454545455]",22.07139676230904,789.708373751243,0.05094532217101432,0.16946906613554893,0.12271780545901706
"[0.05, 0.46818181818181814, 0.8863636363636364, 1.2]",30.055203618260535,618.3377419510942,0.04857787226424853,0.14845005193385766,0.09859258723453872
"[0.05, 0.46818181818181814, 0.9909090909090909, 1.0954545454545455]",18.37124935748537,1005.7080243352747,0.05321204669606843,0.18608386748416042,0.13418146748001947
"[0.05, 0.46818181818181814, 0.9909090909090909, 1.2]",25.239227531371885,780.1510240924702,0.05011822150423629,0.16177410393600306,0.1086123427306603
"[0.05, 0.46818181818181814, 1.0954545454545455, 1.2]",20.79879762817286,1005.1628228786185,0.05284930923929617,0.1787579764701275,0.11901169859922678
"[0.05, 0.5727272727272728, 0.6772727272727272, 0.7818181818181819]",8.592207636796545,1611.2025399156532,0.05465945570810995,0.23451166540579518,0.24989749927576999
"[0.05, 0.5727272727272728, 0.6772727272727272, 0.8863636363636364]",15.943330641232004,915.765760594568,0.0536367803903028,0.18702409805243767,0.16546870511082268
"[0.05, 0.5727272727272728, 0.6772727272727272, 0.9909090909090909]",22.46722158440444,686.9487087163919,0.053000120092317804,0.16525446208045583,0.12651041680991568
"[0.05, 0.5727272727272728, 0.6772727272727272, 1.0954545454545455]",27.9342179449236,586.026109032183,0.05252966163859754,0.15253267752032224,0.10432251019139112
"[0.05, 0.5727272727272728, 0.6772727272727272, 1.2]",32.60388795679167,534.7861619467732,0.05215514488489865,0.14390215988122604,0.0897750341646705
"[0.05, 0.5727272727272728, 0.7818181818181819, 0.8863636363636364]",13.977590566367558,1101.4842962442494,0.05385334035013933,0.19842058801291873,0.17834208152052697
"[0.05, 0.5727272727272728, 0.7818181818181819, 0.9909090909090909]",20.963143593515717,776.4632549222216,0.052704688574638024,0.16977470698857972,0.13359538927901732
"[0.05, 0.5727272727272728, 0.7818181818181819, 1.0954545454545455]",27.93535747366985,617.8222818535216,0.05178309684826558,0.15177723451700642,0.10634034027791633
"[0.05, 0.5727272727272728, 0.7818181818181819, 1.2]",34.294209383209385,535.556503063454,0.05105089474377395,0.13986709513939855,0.08885861364731963
"[0.05, 0.5727272727272728, 0.8863636363636364, 0.9909090909090909]",18.739312850935864,917.1169177314429,0.05328226374413632,0.17939925028981657,0.14157287298812551
"[0.05, 0.5727272727272728, 0.8863636363636364, 1.0954545454545455]",25.531572792987276,713.6797005605268,0.05188345423981314,0.15812657302996141,0.11292690926450795
"[0.05, 0.5727272727272728, 0.8863636363636364, 1.2]",33.08483233232435,585.7459658891626,0.050610564958043794,0.1419195840621919,0.09217353647612364
"[0.05, 0.5727272727272728, 0.9909090909090909, 1.0954545454545455]",22.880298746190782,842.2610252633472,0.05284394473686764,0.16730824717612972,0.11898246357468893
"[0.05, 0.5727272727272728, 0.9909090909090909, 1.2]",29.658358951741096,690.7252187500351,0.05120285434976229,0.1497002667693626,0.0983817025100444
"[0.05, 0.5727272727272728, 1.0954545454545455, 1.2]",26.523888452600723,818.1062981106226,0.0525009336509551,0.15875320475232552,0.10344269403573515
"[0.05, 0.6772727272727272, 0.7818181818181819, 0.8863636363636364]",11.393865979905458,1421.1651584147082,0.05351071207441984,0.21331725057627982,0.20691202003798007
"[0.05, 0.6772727272727272, 0.7818181818181819, 0.9909090909090909]",21.136913108597508,809.0924738069641,0.05270029688141855,0.16759411716873374,0.13673790621869536
"[0.05, 0.6772727272727272, 0.7818181818181819, 1.0954545454545455]",29.725490487659926,609.2083588675574,0.05220771221836686,0.1469056059255732,0.10411690741134048
"[0.05, 0.6772727272727272, 0.7818181818181819, 1.2]",36.753240364321876,523.420003823914,0.051844619730551,0.1350871800355415,0.08564598638767333
"[0.05, 0.6772727272727272, 0.8863636363636364, 0.9909090909090909]",18.814183969537847,958.2744831212665,0.05287472782826559,0.17712209323634173,0.14577257323275342
