experiment,time,control,completion_coordinate,estimated_derivative
sinusoid,7.4,0.35299837200929624,0.40523556047787423,0.03413509967693101
sinusoid,7.44,0.3679385275420702,0.4066009644649515,0.04372241234470303
sinusoid,7.48,0.38279576728109743,0.4083498609587396,0.05078563775299111
sinusoid,7.5200000000000005,0.3975014178180964,0.41038128646885924,0.05269449286002398
sinusoid,7.5600000000000005,0.41198750642319976,0.4124890661832602,0.071701917050003
sinusoid,7.6000000000000005,0.42618707522976174,0.4153571428652603,0.06780832810319437
sinusoid,7.640000000000001,0.44003449072824846,0.4180694759893881,0.07285267323863948
sinusoid,7.68,0.4534657471386577,0.4209835829189337,0.07963940894560734
sinusoid,7.72,0.4664187622592224,0.42416915927675797,0.08942265014136447
sinusoid,7.76,0.47883366442390857,0.42774606528241255,0.10175329506821179
sinusoid,7.8,0.4906530692423377,0.431816197085141,0.08821077808875699
sinusoid,7.84,0.5018223448429788,0.4353446282086913,0.10591479365781725
sinusoid,7.88,0.5122898643935944,0.439581219955004,0.09976449870477411
sinusoid,7.92,0.5220072447317388,0.44357179990319495,0.11386072378291034
sinusoid,7.96,0.5309295700023065,0.44812622885451137,0.11100801340476613
sinusoid,8.0,0.539015599268429,0.452566549390702,0.11308241310765133
sinusoid,8.040000000000001,0.5462279571360957,0.45708984591500806,0.11435140465889948
sinusoid,8.08,0.5525333065113898,0.46166390210136404,0.12135186916023832
sinusoid,8.120000000000001,0.557902502691823,0.4665179768677736,0.12126560587888968
sinusoid,8.16,0.5623107280795153,0.47136860110292916,0.11997336842442946
sinusoid,8.2,0.5657376068935578,0.47616753583990634,0.11641377071020947
sinusoid,8.24,0.5681672993513219,0.4808240866683147,0.11832826192305218
sinusoid,8.28,0.5695885748833962,0.4855572171452368,0.12174477113860438
sinusoid,8.32,0.5699948640437323,0.490427007990781,0.10780752277719796
sinusoid,8.36,0.5693842888750599,0.4947393089018689,0.1132468372267395
sinusoid,8.4,0.5677596715892149,0.4992691823909385,0.10669865335732193
sinusoid,8.44,0.5651285215222606,0.5035371285252314,0.10085276429204759
sinusoid,8.48,0.5615030004246949,0.5075712390969133,0.10367661978749887
sinusoid,8.52,0.5568998662471831,0.5117183038884132,0.09168692640511011
sinusoid,8.56,0.5513403956816469,0.5153857809446176,0.09062045257720308
sinusoid,8.6,0.5448502858157478,0.5190105990477057,0.08788737132239266
sinusoid,8.64,0.5374595353553309,0.5225260939006015,0.07172037542329812
sinusoid,8.68,0.5292023059638539,0.5253949089175334,0.07840603589772677
sinusoid,8.72,0.5201167643597128,0.5285311503534424,0.06896724675221899
sinusoid,8.76,0.5102449059013321,0.5312898402235312,0.05907957896022775
binary,0.0,0.18,0.3300841735003384,-0.029891317180567867
binary,0.04,0.18,0.3288885208131157,-0.018288264442110902
binary,0.08,0.18,0.32815699023543127,-0.029663115939330964
binary,0.12,0.18,0.32697046559785803,-0.02402637504628491
binary,0.16,0.18,0.32600941059600663,-0.022790195982537453
binary,0.2,0.18,0.32509780275670513,-0.025237798507588005
binary,0.24,0.18,0.3240882908164016,-0.02775681564316651
binary,0.28,0.18,0.32297801819067495,-0.0224923704088692
binary,0.32,0.18,0.3220783233743202,-0.023357196435634664
binary,0.36,0.18,0.3211440355168948,-0.01966721540440225
binary,0.4,0.18,0.3203573469007187,-0.025543107268428955
binary,0.44,0.18,0.31933562260998155,-0.012685362881321993
binary,0.48,0.18,0.31882820809472867,-0.02594725797814973
binary,0.52,0.18,0.3177903177756027,-0.021366919782594973
binary,0.56,0.18,0.3169356409842989,-0.020453746712213727
binary,0.6,0.18,0.31611749111581033,-0.02052753453507944
binary,0.64,0.18,0.31529638973440716,-0.022514167403080154
