times,worst_case_minimum_information_eigenvalue,median_minimum_information_eigenvalue,all_sampled_clocks_monotone
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 1.4]",5.612378368764585e-08,5.627099302939358e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.1957474171359199]",4.319922787377195e-09,4.336018064409495e-09,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.25032258773548044]",1.1394372328445549e-08,1.1425362138531584e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.3201135363491284]",2.2561874951630194e-08,2.2616065961229863e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.4093624833498013]",3.9914513946594196e-08,4.0004654885539113e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.5234943972864351]",6.531277234150823e-08,6.546047283765158e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.6694467498530259]",9.986242646044094e-08,1.0009256278086708e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 0.8560912078750774]",1.4306257813054873e-07,1.4340194194652276e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 1.0947728947252522]",1.9232337498589344e-07,1.9279470331219007e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.15307069035205895, 1.4]",2.434547499114958e-07,2.440702184398462e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.25032258773548044]",2.732904544631208e-08,2.7427817566028196e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.3201135363491284]",5.698644439619e-08,5.711964535535749e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.4093624833498013]",9.963431743489009e-08,9.984897323611404e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.5234943972864351]",1.6080334164893267e-07,1.6115006916891226e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.6694467498530259]",2.4313898246229846e-07,2.436803264982357e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 0.8560912078750774]",3.4554885681420825e-07,3.463549333695601e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 1.0947728947252522]",4.6229003345608516e-07,4.634244356537238e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.1957474171359199, 1.4]",5.840233462909597e-07,5.855258467207862e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 0.3201135363491284]",1.1160704933914363e-07,1.1195514244482635e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 0.4093624833498013]",1.9929483954007708e-07,1.9973957562684012e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 0.5234943972864351]",3.1912155271822156e-07,3.198229842053998e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 0.6694467498530259]",4.787852540932072e-07,4.798860789036028e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 0.8560912078750774]",6.767196026467587e-07,6.783798066115456e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 1.0947728947252522]",9.02694817263814e-07,9.050661551007042e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.25032258773548044, 1.4]",1.13979199501123e-06,1.1429801171486703e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 0.4093624833498013]",3.513697188642433e-07,3.523554207107708e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 0.5234943972864351]",5.66650559218787e-07,5.680060770608547e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 0.6694467498530259]",8.458596491209238e-07,8.479741742268371e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 0.8560912078750774]",1.1907808948345609e-06,1.1940030044282673e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 1.0947728947252522]",1.585475824134481e-06,1.5901395099549292e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.3201135363491284, 1.4]",2.0025000678111728e-06,2.00885634656662e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.4093624833498013, 0.5234943972864351]",9.289692457284119e-07,9.31716559940646e-07,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.4093624833498013, 0.6694467498530259]",1.3891012833053093e-06,1.3930355164095685e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.4093624833498013, 0.8560912078750774]",1.950136599306598e-06,1.956138184824715e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.4093624833498013, 1.0947728947252522]",2.5933723355116428e-06,2.602146190738736e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.4093624833498013, 1.4]",3.277790900334815e-06,3.28988840227321e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.5234943972864351, 0.6694467498530259]",2.1447828299344248e-06,2.1521900082059684e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.5234943972864351, 0.8560912078750774]",3.01260151274257e-06,3.0233661162545644e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.5234943972864351, 1.0947728947252522]",4.0035983528636806e-06,4.019391380090491e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.5234943972864351, 1.4]",5.0643315669760465e-06,5.086300401266254e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.6694467498530259, 0.8560912078750774]",4.407815993973546e-06,4.426783501640493e-06,True
