candidate_id,ensemble,strict_fingerprint,stieltjes_memory,context_composition,chiral_covariance_scaffold,information_contraction_channel,all_five
136,strict_five_percent_circulant,0,1,1,1,1,0
137,random_positive_dense,0,1,1,0,1,0
138,random_positive_circulant,0,1,1,1,1,0
139,random_signed_circulant,0,1,1,1,0,0
140,strict_five_percent_circulant,0,1,1,1,1,0
141,random_positive_dense,0,1,1,0,1,0
142,random_positive_circulant,0,1,1,1,1,0
143,random_signed_circulant,0,0,1,1,0,0
144,strict_five_percent_circulant,1,1,1,1,1,1
145,random_positive_dense,0,1,1,0,1,0
146,random_positive_circulant,0,1,1,1,1,0
147,random_signed_circulant,0,0,1,1,0,0
148,strict_five_percent_circulant,0,1,1,1,1,0
149,random_positive_dense,0,1,1,0,1,0
150,random_positive_circulant,0,1,1,1,1,0
151,random_signed_circulant,0,0,1,1,0,0
152,strict_five_percent_circulant,1,1,1,1,1,1
153,random_positive_dense,0,1,1,0,1,0
154,random_positive_circulant,0,1,1,1,1,0
155,random_signed_circulant,0,1,1,1,0,0
156,strict_five_percent_circulant,0,1,1,1,1,0
157,random_positive_dense,0,1,1,0,1,0
158,random_positive_circulant,0,1,1,1,1,0
159,random_signed_circulant,0,1,1,1,0,0
160,strict_five_percent_circulant,1,1,1,1,1,1
161,random_positive_dense,0,1,1,0,1,0
162,random_positive_circulant,0,1,1,1,1,0
163,random_signed_circulant,0,0,1,1,0,0
164,strict_five_percent_circulant,0,1,1,1,1,0
165,random_positive_dense,0,1,1,0,1,0
166,random_positive_circulant,0,1,1,1,1,0
167,random_signed_circulant,0,0,1,1,0,0
168,strict_five_percent_circulant,1,1,1,1,1,1
169,random_positive_dense,0,1,1,0,1,0
170,random_positive_circulant,0,1,1,1,1,0
171,random_signed_circulant,0,0,1,1,0,0
172,strict_five_percent_circulant,0,1,1,1,1,0
173,random_positive_dense,0,1,1,0,1,0
174,random_positive_circulant,0,1,1,1,1,0
175,random_signed_circulant,0,0,1,1,0,0
176,strict_five_percent_circulant,1,1,1,1,1,1
177,random_positive_dense,0,1,1,0,1,0
178,random_positive_circulant,0,1,1,1,1,0
179,random_signed_circulant,0,0,1,1,0,0
180,strict_five_percent_circulant,1,1,1,1,1,1
181,random_positive_dense,0,1,1,0,1,0
182,random_positive_circulant,0,1,1,1,1,0
183,random_signed_circulant,0,0,1,1,0,0
184,strict_five_percent_circulant,1,1,1,1,1,1
185,random_positive_dense,0,1,1,0,1,0
186,random_positive_circulant,0,1,1,1,1,0
187,random_signed_circulant,0,0,1,1,0,0
188,strict_five_percent_circulant,0,1,1,1,1,0
189,random_positive_dense,0,1,1,0,1,0
190,random_positive_circulant,0,1,1,1,1,0
191,random_signed_circulant,0,0,1,1,0,0
192,strict_five_percent_circulant,1,1,1,1,1,1
193,random_positive_dense,0,1,1,0,1,0
194,random_positive_circulant,0,1,1,1,1,0
195,random_signed_circulant,0,1,1,1,0,0
196,strict_five_percent_circulant,0,1,1,1,1,0
197,random_positive_dense,0,1,1,0,1,0
198,random_positive_circulant,0,1,1,1,1,0
199,random_signed_circulant,0,0,1,1,0,0
200,strict_five_percent_circulant,1,1,1,1,1,1
