uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
3,1.0,0.7,0.5,0.11993950233423155,0.2800592576691539,0.24253762594698572,0.2800592576691539,0.5435199947152936,0.26346073704613965
3,1.0,0.7,0.75,0.17990925350134732,0.4064270215746739,0.3168906796513713,0.4064270215746739,0.8036352079666885,0.3972081863920146
3,1.0,0.7,1.0,0.2398790046684631,0.5182758041481887,0.3429999999999999,0.5182758041481887,1.0,0.48172419585181125
3,1.0,0.9,0.25,0.059969751167115774,0.19428822835880857,0.27897622219415047,0.27897622219415047,0.3524207189941393,0.07344449679998882
3,1.0,0.9,0.5,0.11993950233423155,0.3774542831214541,0.5154808434849931,0.5154808434849931,0.698811421776806,0.18333057829181287
3,1.0,0.9,0.75,0.17990925350134732,0.5400023052958757,0.6735081792007281,0.6735081792007281,1.0,0.32649182079927186
3,1.0,0.9,1.0,0.2398790046684631,0.6754052304573164,0.7290000000000001,0.7290000000000001,1.0,0.2709999999999999
3,1.0,1.0,0.25,0.059969751167115774,0.2241548991330267,0.3826834323650898,0.3826834323650898,0.3915785766601547,0.008895144295064938
3,1.0,1.0,0.5,0.11993950233423155,0.4333596566087392,0.7071067811865475,0.7071067811865475,0.7764571353075622,0.06935035412101476
3,1.0,1.0,0.75,0.17990925350134732,0.6149315272702202,0.9238795325112867,0.9238795325112867,1.0,0.07612046748871326
3,1.0,1.0,1.0,0.2398790046684631,0.7603453162872774,1.0,1.0,1.0,0.0
4,0.7,0.7,0.25,0.04497731337533683,0.10061705840857167,0.022060938335817012,0.10061705840857167,0.19211359504593875,0.09149653663736708
4,0.7,0.7,0.5,0.08995462675067366,0.19889332105931,0.04076329879290989,0.19889332105931,0.3823770311516113,0.1834837100923013
4,0.7,0.7,0.75,0.13493194012601048,0.29265740577177424,0.053259816529005966,0.29265740577177424,0.568957967418746,0.2763005616469718
4,0.7,0.7,1.0,0.17990925350134732,0.3800567593439928,0.05764800999999998,0.3800567593439928,0.7500595274355759,0.3700027680915831
4,0.7,0.9,0.25,0.04497731337533683,0.13858349662489938,0.06028397185393396,0.13858349662489938,0.24700319363049272,0.10841969700559334
4,0.7,0.9,0.5,0.08995462675067366,0.2726886267197251,0.11139025546867214,0.2726886267197251,0.4916276114806432,0.2189389847609181
4,0.7,0.9,0.75,0.13493194012601048,0.3982349771434284,0.14553838244348527,0.3982349771434284,0.7315173866812451,0.3332824095378167
4,0.7,0.9,1.0,0.17990925350134732,0.5118902177339562,0.15752960999999996,0.5118902177339562,0.9643622495600263,0.4524720318260701
4,0.7,1.0,0.25,0.04497731337533683,0.16027183931644695,0.09188229211085804,0.16027183931644695,0.27444799292276967,0.11417615360632272
4,0.7,1.0,0.5,0.08995462675067366,0.3145359807384248,0.16977633816289,0.3145359807384248,0.546252901645159,0.23171692090673424
4,0.7,1.0,0.75,0.13493194012601048,0.4573544231623297,0.2218234757559599,0.4573544231623297,0.8127970963124945,0.3554426731501648
4,0.7,1.0,1.0,0.17990925350134732,0.5843605721475225,0.24009999999999995,0.5843605721475225,1.0,0.41563942785247754
4,0.85,0.7,0.25,0.04497731337533683,0.11172813854721649,0.047963130746193586,0.11172813854721649,0.23328079398435422,0.12155265543713774
4,0.85,0.7,0.5,0.08995462675067366,0.22052230530116518,0.08862430962314209,0.22052230530116518,0.4643149663983852,0.24379266109722003
4,0.85,0.7,0.75,0.13493194012601048,0.323689755441221,0.11579324074133453,0.323689755441221,0.6908775318656203,0.36718777642439926
4,0.85,0.7,1.0,0.17990925350134732,0.4189881490940973,0.12533370062499996,0.4189881490940973,0.9107865690289136,0.4917984199348163
4,0.85,0.9,0.25,0.04497731337533683,0.15420123109360753,0.1310645984280617,0.15420123109360753,0.2999324494084554,0.1457312183148479
4,0.85,0.9,0.5,0.08995462675067366,0.30257370957637375,0.24217579984899434,0.30257370957637375,0.5969763853693525,0.29440267579297874
4,0.85,0.9,0.75,0.13493194012601048,0.4398847364686194,0.31641793107201,0.4398847364686194,0.8882711123986547,0.44838637593003533
4,0.85,0.9,1.0,0.17990925350134732,0.5620124321861055,0.34248830062499996,0.5620124321861055,1.0,0.4379875678138945
4,0.85,1.0,0.25,0.04497731337533683,0.17846443458422606,0.1997631434660291,0.1997631434660291,0.33325827712050604,0.13349513365447693
4,0.85,1.0,0.5,0.08995462675067366,0.3489679022543303,0.3691141591967601,0.3691141591967601,0.6633070948548361,0.29419293565807597
4,0.85,1.0,0.75,0.13493194012601048,0.5044218296355902,0.48227089021796976,0.5044218296355902,0.9869679026651719,0.48254607302958163
4,0.85,1.0,1.0,0.17990925350134732,0.6393642989129538,0.5220062499999999,0.6393642989129538,1.0,0.36063570108704623
4,0.95,0.7,0.25,0.04497731337533683,0.11817022595492488,0.07483870118861956,0.11817022595492488,0.2607255932766312,0.14255536732170632
4,0.95,0.7,0.5,0.08995462675067366,0.23298710556917596,0.1382838885357874,0.23298710556917596,0.5189402565629011,0.28595315099372515
4,0.95,0.7,0.75,0.13493194012601048,0.3413930358404512,0.18067660739995278,0.3413930358404512,0.7721572414968697,0.4307642056564185
4,0.95,0.7,1.0,0.17990925350134732,0.4408798762282689,0.19556295062499993,0.4408798762282689,1.0,0.5591201237717311
