design,input_energy,information_minimum_eigenvalue,information_determinant,information_condition_number
random_139,160.0,0.21414408186461348,0.6745788334112299,14.710267041548729
random_140,160.0,0.6128444823882708,2.005847437332891,5.340689595381796
random_141,160.0,0.34629120469934954,2.9986131704630687,25.005613931304396
random_142,160.0,0.43236452982549806,4.26151496221537,22.796275720369636
random_143,160.0,0.9086437839848591,17.478026449422916,21.169230530656296
random_144,160.0,0.41489434008278003,2.861634599255403,16.62413884700124
random_145,160.0,0.4360321064063991,11.845220929454626,62.30260811601203
random_146,160.0,0.5346993302508316,3.729591349336918,13.044936476784207
random_147,160.0,0.32637069309888217,9.577876757114982,89.91806178188892
random_148,160.0,0.21714550996472065,2.099624330730027,44.5286870043214
random_149,160.0,0.2011659566097727,2.0213097437918255,49.948666245342935
random_150,160.0,0.2649570245977597,3.721685525565095,53.01378313480388
random_151,160.0,0.30494208598687633,9.358955697995386,100.64510513530375
random_152,160.0,0.26350782287978036,3.7703939329772704,54.29998407670515
random_153,160.0,0.5174905506068703,3.107938789370553,11.60560028946189
random_154,160.0,0.5450613371591002,30.441858621719675,102.46614798544702
random_155,160.0,0.4067482647555205,4.755937090612771,28.746480702213418
random_156,160.0,0.5462180052846581,10.282405951246092,34.4637651395818
random_157,160.0,0.12986472708115304,0.8978834566723594,53.23993977402266
random_158,160.0,0.7781142604815497,8.062442523376257,13.31618690375977
random_159,160.0,0.4068274299497565,18.554483758304595,112.105887511046
random_160,160.0,0.4094924999375726,3.3991323659638972,20.27104665157404
random_161,160.0,0.4775188657352977,2.5585272829123227,11.220416647227283
random_162,160.0,0.5772451727703758,11.165476328496391,33.50862718264232
random_163,160.0,0.21624544995241696,2.024006884001878,43.283067198501115
random_164,160.0,0.3162808585081791,2.743361813686792,27.424408620421467
random_165,160.0,0.40571588610333836,1.514791896576982,9.202566127543935
random_166,160.0,0.3449986671969973,0.9605217462081684,8.069978303892805
random_167,160.0,0.3417577384612724,1.3524765097078901,11.579585575360463
random_168,160.0,0.540028909353511,35.45356599667205,121.56985675112368
random_169,160.0,0.20487182038484886,5.102334428744921,121.56385615351076
random_170,160.0,0.1969270378545029,1.6260117929612725,41.92885418596144
random_171,160.0,0.43127309032828115,3.4034728592538452,18.298587627979572
random_172,160.0,0.25723466700429415,0.8780569916712856,13.269779640766492
random_173,160.0,0.46016327668398604,5.983449209899158,28.257106937632063
random_174,160.0,0.26138542155470096,1.251885249043714,18.323220116171015
random_175,160.0,0.7250375605666508,6.165714764856367,11.729038671615427
random_176,160.0,0.15496956073767032,2.5265837315598523,105.20609268661867
random_177,160.0,0.19122816001343126,2.1358437173119427,58.40711823416601
random_178,160.0,0.4060053375948422,0.8541552936764389,5.181712946970086
random_179,160.0,0.41297897467209665,6.6507676569431275,38.99562566262831
random_180,160.0,0.39066381330218736,1.0724150770410397,7.02678298834617
random_181,160.0,0.2102603500820701,2.4663688398893377,55.78831681258351
random_182,160.0,0.5345693967153262,13.162116930917593,46.05932401985449
random_183,160.0,0.47041773768249723,2.11997105701486,9.579934809825945
random_184,160.0,0.6379177592077852,3.6459398937654326,8.959424603910293
random_185,160.0,0.16825974726702733,2.405388626811779,84.96201204632943
random_186,160.0,0.3083477543351314,1.6049115040235828,16.879886044244312
random_187,160.0,0.4496461343689319,7.059164215666191,34.91496063063444
random_188,160.0,0.36953416907055514,15.886641401093481,116.33834708629063
random_189,160.0,0.635676459794342,4.200327593613972,10.394674762234947
random_190,160.0,0.32613312238410264,1.878096221095123,17.657451500307786
random_191,160.0,0.4993352312778506,2.745166757377563,11.009923779447613
random_192,160.0,0.7183664219886332,4.394915348982111,8.516447351486105
random_193,160.0,0.28106310213164,8.50407773518647,107.65136742500098
random_194,160.0,0.7245752958445971,4.978432882175726,9.482560250650865
random_195,160.0,0.3604978458353959,13.571344846847671,104.42813890560242
random_196,160.0,0.6427817120467573,3.379036039118938,8.178352015756515
random_197,160.0,1.6060601708311597,54.29565692265777,21.049484668989567
random_198,160.0,0.140841887862174,0.8565557075014193,43.180924640866486
random_199,160.0,0.6751942860214796,3.7222271672748004,8.16479637035659
random_200,160.0,0.42648308132574,1.1921117078808112,6.554104154320688
random_201,160.0,0.22283905985726665,0.767118585834158,15.448270663157668
random_202,160.0,0.43863260152680117,13.823986544666907,71.85078000448499
random_203,160.0,0.32236331691351894,3.8078460525169677,36.642757671884034
random_204,160.0,0.6496282290864813,4.946878321224026,11.721992818596469
random_205,160.0,0.2111656095819264,2.9643507155526456,66.4788048750192
random_206,160.0,0.48497970344286645,6.626595039977665,28.173662246217784
random_207,160.0,0.19906238099107915,1.6442304021689917,41.49390281177797
random_208,160.0,0.22000310829469288,1.2285544046749328,25.382638220517407
random_209,160.0,0.5066280185649512,8.691060763059825,33.860578806199726
random_210,160.0,0.3325706965349627,4.270369934793623,38.609798829027056
random_211,160.0,0.16492623116611427,2.3164162318872235,85.16028967107712
random_212,160.0,0.22844587486479587,2.4871093804832216,47.65716953129312
random_213,160.0,0.22923361123036243,1.9860663194116415,37.79524407537563
random_214,160.0,0.24276905502213866,1.8904244605617144,32.075443679615994
random_215,160.0,0.35393833928942225,1.907283688810013,15.225097309754533
random_216,160.0,0.3313566658348631,3.8387165974713646,34.961867873083214
random_217,160.0,0.1945011710828026,0.6779906756635267,17.92170317101736
random_218,160.0,0.46358944997528856,1.042537105144094,4.850923579354088
random_219,160.0,0.6054248440022021,9.085421534618414,24.787036421013614
random_220,160.0,0.18059850384076523,3.1969350040288878,98.0179264008387
random_221,160.0,0.2584957298208445,2.6663752189535908,39.9038241484707
random_222,160.0,0.19514250563488297,2.2114813999112974,58.07370537172364
random_223,160.0,0.5185549742850256,1.597393679370447,5.940491139011185
random_224,160.0,0.2637395421330413,4.393271221493622,63.15933079098197
random_225,160.0,0.2690265903661344,1.6166718010698662,22.337339669858476
random_226,160.0,0.31002331127856686,5.660263136442246,58.89086321772282
random_227,160.0,0.23374481528642482,4.294249351342537,78.59651427353008
random_228,160.0,0.33350330871096573,2.9939092756732837,26.917724379588854
random_229,160.0,0.4382086833598029,1.6466956926298948,8.575340850279627
random_230,160.0,0.235636940145514,0.9704217864987954,17.477277782932195
random_231,160.0,0.2689766255959239,1.6845189764263881,23.28342287621231
random_232,160.0,0.2607031745294329,7.057658878228658,103.84079980482558
random_233,160.0,0.18000347297500044,3.7235295645391333,114.91931737231967
random_234,160.0,1.2329686675214147,24.39218840446878,16.045257276633375
random_235,160.0,0.5911755087682269,3.6866518090494123,10.548707603141715
random_236,160.0,0.18817091223420437,3.576226929216153,100.99970108413868
random_237,160.0,0.7883983660256566,22.448612001995766,36.11586846903055
random_238,160.0,0.3100680775826924,3.537556753364823,36.795041976879595
random_239,160.0,0.49366033590165126,3.9243062185732933,16.102986164932737
