mean_mode_loss,phase_parameter_sigma,repetition,response_rank,response_minimum_singular_value,completeness_residual,minimum_effect_eigenvalue,maximum_effect_error_from_ideal_detector_model,mean_realized_transmission
0.08,0.0001,9,5,0.22002316835201652,2.2420927545987803e-16,0.017497250202964214,0.08338582954596374,0.917686407798414
0.08,0.0001,10,5,0.2201513135421321,2.301792367277616e-16,0.017260654778305462,0.08852786694209126,0.9183081407315312
0.08,0.0001,11,5,0.21677537988385542,4.447348651076077e-16,0.016952026547422224,0.10176304692146713,0.9063432468483844
0.08,0.001,0,5,0.21936266169192306,2.2314642530514973e-16,0.017067605039212876,0.10375624067896981,0.9152782364858459
0.08,0.001,1,5,0.22079261719345403,2.2847085756866535e-16,0.017520020154691042,0.0955642039647257,0.9168369078876447
0.08,0.001,2,5,0.21765544647896368,2.256752843843803e-16,0.017224780624797154,0.09448768420774874,0.9106018221108125
0.08,0.001,3,5,0.21806667153136325,2.250971463791561e-16,0.017456818840624784,0.09773324224297278,0.9149769603368847
0.08,0.001,4,5,0.2189081414991612,2.2629461143523626e-16,0.017164025047232155,0.09532154283698442,0.9123782927625557
0.08,0.001,5,5,0.21972384356528016,2.3026541306236995e-16,0.017317476723146603,0.10721982186602458,0.9154406906407022
0.08,0.001,6,5,0.21871528244934688,2.3421005434235724e-16,0.017087341795792382,0.0994661967341362,0.9128510942557829
0.08,0.001,7,5,0.21829864878381144,2.325417208425635e-16,0.017030972235736,0.10190542505898458,0.9124720578349204
0.08,0.001,8,5,0.2188305670370546,2.3141936262532395e-16,0.017465239284744083,0.09415317418907881,0.9140782925855083
0.08,0.001,9,5,0.2167368593873225,2.243226172113045e-16,0.017088735575316198,0.10721669176777869,0.9055890227196035
0.08,0.001,10,5,0.22049813127515555,2.475286568425201e-16,0.01727925511063847,0.08670101221334178,0.9204459603213048
0.08,0.001,11,5,0.22156852697129542,2.311901136524853e-16,0.01732360579564192,0.08675510836560962,0.9186861037345582
